date,Country,confirmed_cases
"Feb 20, 2020",United_States_of_America,15
"Feb 21, 2020",Brazil,0
"Feb 21, 2020",United_States_of_America,16
"Feb 21, 2020",India,3
"Feb 22, 2020",India,3
"Feb 22, 2020",United_States_of_America,35
"Feb 22, 2020",Brazil,0
"Feb 23, 2020",United_States_of_America,35
"Feb 23, 2020",India,3
"Feb 23, 2020",Brazil,0
"Feb 24, 2020",India,3
"Feb 24, 2020",Brazil,0
"Feb 24, 2020",United_States_of_America,35
"Feb 25, 2020",United_States_of_America,53
"Feb 25, 2020",Brazil,0
"Feb 25, 2020",India,3
"Feb 26, 2020",United_States_of_America,53
"Feb 26, 2020",India,3
"Feb 26, 2020",Brazil,1
"Feb 27, 2020",India,3
"Feb 27, 2020",Brazil,1
"Feb 27, 2020",United_States_of_America,59
"Feb 28, 2020",Brazil,1
"Feb 28, 2020",India,3
"Feb 28, 2020",United_States_of_America,60
"Feb 29, 2020",India,3
"Feb 29, 2020",United_States_of_America,66
"Feb 29, 2020",Brazil,1
"Mar 1, 2020",United_States_of_America,69
"Mar 1, 2020",India,3
"Mar 1, 2020",Brazil,2
"Mar 2, 2020",India,3
"Mar 2, 2020",United_States_of_America,89
"Mar 2, 2020",Brazil,2
"Mar 3, 2020",India,5
"Mar 3, 2020",United_States_of_America,103
"Mar 3, 2020",Brazil,2
"Mar 4, 2020",India,6
"Mar 4, 2020",United_States_of_America,125
"Mar 4, 2020",Brazil,2
"Mar 5, 2020",India,28
"Mar 5, 2020",United_States_of_America,159
"Mar 5, 2020",Brazil,3
"Mar 6, 2020",India,29
"Mar 6, 2020",Brazil,8
"Mar 6, 2020",United_States_of_America,233
"Mar 7, 2020",India,31
"Mar 7, 2020",Brazil,13
"Mar 7, 2020",United_States_of_America,338
"Mar 8, 2020",India,34
"Mar 8, 2020",Brazil,13
"Mar 8, 2020",United_States_of_America,433
"Mar 9, 2020",Brazil,25
"Mar 9, 2020",United_States_of_America,554
"Mar 10, 2020",Brazil,25
"Mar 10, 2020",India,44
"Mar 10, 2020",United_States_of_America,754
"Mar 11, 2020",United_States_of_America,1025
"Mar 11, 2020",India,50
"Mar 11, 2020",Brazil,34
"Mar 12, 2020",United_States_of_America,1312
"Mar 12, 2020",India,73
"Mar 12, 2020",Brazil,52
"Mar 13, 2020",India,75
"Mar 13, 2020",Brazil,77
"Mar 13, 2020",United_States_of_America,1663
"Mar 14, 2020",India,83
"Mar 14, 2020",United_States_of_America,2174
"Mar 14, 2020",Brazil,98
"Mar 15, 2020",India,90
"Mar 15, 2020",Brazil,121
"Mar 15, 2020",United_States_of_America,2951
"Mar 16, 2020",United_States_of_America,3774
"Mar 16, 2020",India,93
"Mar 16, 2020",Brazil,200
"Mar 17, 2020",Brazil,234
"Mar 17, 2020",India,125
"Mar 17, 2020",United_States_of_America,4661
"Mar 18, 2020",India,137
"Mar 18, 2020",Brazil,291
"Mar 18, 2020",United_States_of_America,6427
"Mar 19, 2020",India,165
"Mar 19, 2020",Brazil,428
"Mar 19, 2020",United_States_of_America,9415
"Mar 20, 2020",Brazil,621
"Mar 20, 2020",India,191
"Mar 20, 2020",United_States_of_America,14250
"Mar 21, 2020",Brazil,904
"Mar 21, 2020",India,231
"Mar 21, 2020",United_States_of_America,19624
"Mar 22, 2020",Brazil,1128
"Mar 22, 2020",India,320
"Mar 22, 2020",United_States_of_America,26747
"Mar 23, 2020",India,439
"Mar 23, 2020",Brazil,1546
"Mar 23, 2020",United_States_of_America,35206
"Mar 24, 2020",United_States_of_America,46442
"Mar 24, 2020",Brazil,1891
"Mar 24, 2020",India,492
"Mar 25, 2020",Brazil,2201
"Mar 25, 2020",United_States_of_America,55231
"Mar 25, 2020",India,562
"Mar 26, 2020",Brazil,2433
"Mar 26, 2020",United_States_of_America,69194
"Mar 26, 2020",India,649
"Mar 27, 2020",Brazil,2915
"Mar 27, 2020",India,724
"Mar 27, 2020",United_States_of_America,85991
"Mar 28, 2020",India,873
"Mar 28, 2020",Brazil,3417
"Mar 28, 2020",United_States_of_America,104686
"Mar 29, 2020",Brazil,3904
"Mar 29, 2020",United_States_of_America,124665
"Mar 29, 2020",India,979
"Mar 30, 2020",India,1071
"Mar 30, 2020",Brazil,4256
"Mar 30, 2020",United_States_of_America,143025
"Mar 31, 2020",India,1251
"Mar 31, 2020",United_States_of_America,164620
"Mar 31, 2020",Brazil,4579
"Apr 1, 2020",Brazil,5717
"Apr 1, 2020",India,1397
"Apr 1, 2020",United_States_of_America,189618
"Apr 2, 2020",United_States_of_America,216721
"Apr 2, 2020",India,1965
"Apr 2, 2020",Brazil,6836
"Apr 3, 2020",India,2301
"Apr 3, 2020",Brazil,7910
"Apr 3, 2020",United_States_of_America,245540
"Apr 4, 2020",India,2902
"Apr 4, 2020",Brazil,9056
"Apr 4, 2020",United_States_of_America,277965
"Apr 5, 2020",United_States_of_America,312237
"Apr 5, 2020",Brazil,10278
"Apr 5, 2020",India,3374
"Apr 6, 2020",Brazil,11130
"Apr 6, 2020",India,4067
"Apr 6, 2020",United_States_of_America,337635
"Apr 7, 2020",India,4421
"Apr 7, 2020",Brazil,12056
"Apr 7, 2020",United_States_of_America,368196
"Apr 8, 2020",India,5194
"Apr 8, 2020",Brazil,13717
"Apr 8, 2020",United_States_of_America,398809
"Apr 9, 2020",United_States_of_America,432132
"Apr 9, 2020",Brazil,15927
"Apr 9, 2020",India,5734
"Apr 10, 2020",Brazil,17857
"Apr 10, 2020",India,6412
"Apr 10, 2020",United_States_of_America,466033
"Apr 11, 2020",India,7447
"Apr 11, 2020",Brazil,19638
"Apr 11, 2020",United_States_of_America,501560
"Apr 12, 2020",India,8356
"Apr 12, 2020",Brazil,20727
"Apr 12, 2020",United_States_of_America,529951
"Apr 13, 2020",Brazil,22169
"Apr 13, 2020",United_States_of_America,557571
"Apr 13, 2020",India,9152
"Apr 14, 2020",Brazil,23430
"Apr 14, 2020",India,10363
"Apr 14, 2020",United_States_of_America,582594
"Apr 15, 2020",India,11438
"Apr 15, 2020",Brazil,25262
"Apr 15, 2020",United_States_of_America,609516
"Apr 16, 2020",Brazil,28320
"Apr 16, 2020",India,12380
"Apr 16, 2020",United_States_of_America,639664
"Apr 17, 2020",India,13387
"Apr 17, 2020",Brazil,30425
"Apr 17, 2020",United_States_of_America,671331
"Apr 18, 2020",India,14378
"Apr 18, 2020",Brazil,33682
"Apr 18, 2020",United_States_of_America,702164
"Apr 19, 2020",Brazil,36599
"Apr 19, 2020",India,15712
"Apr 19, 2020",United_States_of_America,735086
"Apr 20, 2020",Brazil,38654
"Apr 20, 2020",India,17265
"Apr 20, 2020",United_States_of_America,759687
"Apr 21, 2020",India,18600
"Apr 21, 2020",Brazil,40581
"Apr 21, 2020",United_States_of_America,787752
"Apr 22, 2020",India,19984
"Apr 22, 2020",Brazil,43079
"Apr 22, 2020",United_States_of_America,825041
"Apr 23, 2020",India,21393
"Apr 23, 2020",Brazil,45757
"Apr 23, 2020",United_States_of_America,842629
"Apr 24, 2020",Brazil,49492
"Apr 24, 2020",India,23077
"Apr 24, 2020",United_States_of_America,869172
"Apr 25, 2020",Brazil,52995
"Apr 25, 2020",India,24506
"Apr 25, 2020",United_States_of_America,890524
"Apr 26, 2020",India,26496
"Apr 26, 2020",Brazil,58509
"Apr 26, 2020",United_States_of_America,939053
"Apr 27, 2020",India,27892
"Apr 27, 2020",Brazil,61888
"Apr 27, 2020",United_States_of_America,965910
"Apr 28, 2020",India,29435
"Apr 28, 2020",Brazil,66501
"Apr 28, 2020",United_States_of_America,988451
"Apr 29, 2020",Brazil,71886
"Apr 29, 2020",India,31332
"Apr 29, 2020",United_States_of_America,1012583
"Apr 30, 2020",India,33050
"Apr 30, 2020",Brazil,78162
"Apr 30, 2020",United_States_of_America,1039909
"May 1, 2020",Brazil,85380
"May 1, 2020",India,35043
"May 1, 2020",United_States_of_America,1069826
"May 2, 2020",Brazil,91589
"May 2, 2020",India,37336
"May 2, 2020",United_States_of_America,1103781
"May 3, 2020",India,39980
"May 3, 2020",United_States_of_America,1133069
"May 3, 2020",Brazil,96559
"May 4, 2020",United_States_of_America,1158041
"May 4, 2020",India,42533
"May 4, 2020",Brazil,101147
"May 5, 2020",India,46433
"May 5, 2020",United_States_of_America,1180634
"May 5, 2020",Brazil,107780
"May 6, 2020",India,49391
"May 6, 2020",United_States_of_America,1204475
"May 6, 2020",Brazil,114715
"May 7, 2020",United_States_of_America,1228603
"May 7, 2020",India,52952
"May 7, 2020",Brazil,125218
"May 8, 2020",India,56342
"May 8, 2020",United_States_of_America,1256972
"May 8, 2020",Brazil,135106
"May 9, 2020",United_States_of_America,1283929
"May 9, 2020",India,59662
"May 9, 2020",Brazil,145328
"May 10, 2020",India,62939
"May 10, 2020",United_States_of_America,1309541
"May 10, 2020",Brazil,155939
"May 11, 2020",United_States_of_America,1329799
"May 11, 2020",India,67152
"May 11, 2020",Brazil,162699
"May 12, 2020",India,70756
"May 12, 2020",United_States_of_America,1347916
"May 12, 2020",Brazil,168331
"May 13, 2020",India,74281
"May 13, 2020",United_States_of_America,1369964
"May 13, 2020",Brazil,177589
"May 14, 2020",India,78003
"May 14, 2020",United_States_of_America,1390746
"May 14, 2020",Brazil,188974
"May 15, 2020",United_States_of_America,1417889
"May 15, 2020",India,81970
"May 15, 2020",Brazil,202918
"May 16, 2020",India,85940
"May 16, 2020",United_States_of_America,1443397
"May 16, 2020",Brazil,218223
"May 17, 2020",India,90927
"May 17, 2020",United_States_of_America,1467884
"May 17, 2020",Brazil,233142
"May 18, 2020",India,96169
"May 18, 2020",United_States_of_America,1486757
"May 18, 2020",Brazil,241080
"May 19, 2020",United_States_of_America,1508598
"May 19, 2020",India,101139
"May 19, 2020",Brazil,254220
"May 20, 2020",India,106750
"May 20, 2020",United_States_of_America,1528568
"May 20, 2020",Brazil,271628
"May 21, 2020",India,112359
"May 21, 2020",United_States_of_America,1551853
"May 21, 2020",Brazil,291579
"May 22, 2020",India,118447
"May 22, 2020",United_States_of_America,1577287
"May 22, 2020",Brazil,310087
"May 23, 2020",United_States_of_America,1601434
"May 23, 2020",India,125101
"May 23, 2020",Brazil,330890
"May 24, 2020",India,131868
"May 24, 2020",United_States_of_America,1622670
"May 24, 2020",Brazil,347398
"May 25, 2020",India,138845
"May 25, 2020",United_States_of_America,1643238
"May 25, 2020",Brazil,363211
"May 26, 2020",India,145380
"May 26, 2020",United_States_of_America,1662302
"May 26, 2020",Brazil,374898
"May 27, 2020",India,151767
"May 27, 2020",United_States_of_America,1681212
"May 27, 2020",Brazil,391222
"May 28, 2020",United_States_of_America,1699933
"May 28, 2020",India,158333
"May 28, 2020",Brazil,411821
"May 29, 2020",India,165799
"May 29, 2020",United_States_of_America,1721750
"May 29, 2020",Brazil,438238
"May 30, 2020",India,173763
"May 30, 2020",United_States_of_America,1747087
"May 30, 2020",Brazil,465166
"May 31, 2020",India,182143
"May 31, 2020",United_States_of_America,1770384
"May 31, 2020",Brazil,498440
"Jun 1, 2020",India,190535
"Jun 1, 2020",United_States_of_America,1790191
"Jun 1, 2020",Brazil,514849
